"id","sigla_instituicao","uf_instituicao","pais_instituicao","qtd_formacoes"
21662,"USP","SP","Brasil","124471"
14907,"UFRJ","RJ","Brasil","62264"
21033,"UNICAMP","SP","Brasil","58582"
9016,"UNESP","SP","Brasil","56511"
4152,"UFRGS","RS","Brasil","51922"
16712,"UFMG","MG","Brasil","46680"
2429,"UFSC","SC","Brasil","42315"
17862,"UNB","DF","Brasil","36356"
13980,"UFPE","PE","Brasil","34748"
10373,"PUCSP","SP","Brasil","29593"
20256,"UFPR","PR","Brasil","29116"
21286,"UFBA","BA","Brasil","26081"
13576,"UFC","CE","Brasil","25894"
18323,"UFF","RJ","Brasil","25557"
20458,"UFPB","PB","Brasil","21883"
7560,"UERJ","RJ","Brasil","21583"
1395,"UFRN","RN","Brasil","20380"
305,"UNIFESP","SP","Brasil","20180"
19710,"UFPA","PA","Brasil","20134"
8437,"UFSCAR","SP","Brasil","18657"
20525,"UFV","MG","Brasil","18487"
18937,"UFSM","RS","Brasil","18308"
9749,"UFG","GO","Brasil","17608"
7690,"PUCRIO","RJ","Brasil","15995"
2646,"PUCRS","RS","Brasil","14932"
7457,"UEM","PR","Brasil","13857"
2639,"UFU","MG","Brasil","13513"
14750,"UFES","ES","Brasil","12911"
7585,"UEL","PR","Brasil","11265"
18644,"UFLA","MG","Brasil","10647"
11686,"UFPEL","RS","Brasil","10285"
3868,"UFJF","MG","Brasil","8993"
2156,"UFRRJ","RJ","Brasil","8791"
3424,"UFS","SE","Brasil","8768"
10946,"UFMT","MT","Brasil","8180"
18225,"UNISINOS","RS","Brasil","8124"
19838,"FIOCRUZ","RJ","Brasil","8121"
16896,"UFAM","AM","Brasil","8087"
4544,"UFCG","PB","Brasil","7985"
6408,"UFRPE","PE","Brasil","7854"
10982,"UECE","CE","Brasil","7436"
13155,"UFMS","MS","Brasil","7401"
17726,"UFPI","PI","Brasil","7072"
1040,"UFAL","AL","Brasil","6888"
1443,"PUCMINAS","MG","Brasil","6878"
16554,"UTFPR","PR","Brasil","6403"
3559,"PUCPR","PR","Brasil","6266"
8698,"UDESC","SC","Brasil","6081"
18493,"MACKENZIE","SP","Brasil","6038"
10736,"UNIOESTE","PR","Brasil","5812"
14400,"UFMA","MA","Brasil","5567"
17052,"FURG","RS","Brasil","5499"
1302,"UENF","RJ","Brasil","5437"
7574,"UNIRIO","RJ","Brasil","5340"
17036,"UFOP","MG","Brasil","4874"
11865,"ITA","SP","Brasil","4824"
19919,"FGV","RJ","Brasil","4521"
6261,"UNIVALI","SC","Brasil","3702"
19546,"PUCGOIAS","GO","Brasil","3520"
9661,"UCBDF","DF","Brasil","3505"
8940,"UNEB","BA","Brasil","3475"
6977,"INPE","SP","Brasil","3444"
1266,"UFABC","SP","Brasil","3381"
15801,"UESC","BA","Brasil","3353"
4304,"UNIFEI","MG","Brasil","3326"
14116,"UEFS","BA","Brasil","3266"
18931,"UMESP","SP","Brasil","3258"
17163,"UEPG","PR","Brasil","3258"
7788,"UNIMEP","SP","Brasil","3198"
18771,"SLMANDIC","SP","Brasil","3196"
14326,"UFT","TO","Brasil","3112"
6868,"INPA","AM","Brasil","3098"
421,"UNIFOR","CE","Brasil","3092"
13323,"UESB","BA","Brasil","3063"
